index,first_name,last_name,gender,age,visit_date,website_goal
506,Gertrude,Orr,female,52,24-11-17,When is trash day?
507,Lucy,Rojas,female,24,13-11-17,Find a job
508,Tonya,Humphrey,female,38,03-11-17,When is trash day?
509,Ella,Manning,female,44,20-09-17,Pay a bill
510,Stacey,House,female,49,08-11-17,Pay a bill
511,Wilma,Weber,female,44,03-10-17,When is trash day?
512,Gina,Velez,female,32,25-12-17,Contact City Council
513,Kristin,Clemons,female,25,25-12-17,When is trash day?
514,Jessie,Frank,female,22,09-12-17,Download a form
515,Natalie,Tyson,female,26,05-10-17,Download a form
516,Agnes,English,female,27,11-10-17,Find a job
517,Vera,Rich,female,33,06-10-17,Download a form
518,Willie,Burgess,female,30,26-09-17,Find a job
519,Charlene,Winters,female,27,08-10-17,Pay a bill
520,Bessie,Santos,female,45,28-11-17,Find a job
521,Delores,Manning,female,38,03-10-17,Find a job
522,Melinda,Meyers,female,16,14-09-17,Pay a bill
523,Pearl,Roman,female,39,20-10-17,When is trash day?
524,Arlene,Bartlett,female,36,04-09-17,Find a job
525,Maureen,Kent,female,48,07-11-17,When is trash day?
526,Colleen,Herring,female,42,08-12-17,Contact City Council
527,Allison,Middleton,female,31,19-11-17,Find a job
528,Tamara,Forbes,female,35,01-11-17,Pay a bill
529,Joy,Pate,female,49,14-10-17,Find a job
530,Georgia,Ayers,female,29,12-12-17,Pay a bill
531,Constance,Marquez,female,38,06-09-17,Pay a bill
532,Lillie,Doyle,female,34,22-12-17,Contact City Council
533,Claudia,Levy,female,24,25-11-17,Download a form
534,Jackie,Zamora,female,30,29-09-17,Contact City Council
535,Marcia,Contreras,female,52,15-10-17,Pay a bill
536,Tanya,Moss,female,29,24-10-17,Pay a bill
537,Nellie,Luna,female,37,27-10-17,Pay a bill
538,Minnie,Potter,female,34,16-10-17,When is trash day?
539,Marlene,Thornton,female,41,24-11-17,Download a form
540,Heidi,Colon,female,40,24-11-17,Find a job
541,Glenda,Whitaker,female,32,11-11-17,Pay a bill
542,Lydia,Keller,female,45,13-09-17,Download a form
543,Viola,Rasmussen,female,36,15-10-17,Find a job
544,Courtney,Levine,female,30,29-11-17,Find a job
545,Marian,Cohen,female,35,03-12-17,Contact City Council
546,Stella,Avery,female,27,02-11-17,Pay a bill
547,Caroline,Noel,female,29,10-09-17,Download a form
548,Dora,Barber,female,24,23-11-17,Find a job
549,Jo,Conner,female,45,08-10-17,Find a job
550,Vickie,Benton,female,39,19-09-17,Find a job
551,Mattie,Mcguire,female,40,15-09-17,Find a job
552,Terry,Franco,female,42,26-10-17,Find a job
553,Maxine,Mcguire,female,39,04-12-17,Pay a bill
554,Irma,Wyatt,female,43,23-11-17,Pay a bill
555,Mabel,Dunlap,female,38,13-09-17,When is trash day?
556,Marsha,Bonner,female,23,26-09-17,Find a job
557,Myrtle,Lloyd,female,31,28-09-17,Pay a bill
558,Lena,Russo,female,24,30-11-17,Contact City Council
559,Christy,French,female,11,09-09-17,Pay a bill
560,Deanna,Hubbard,female,36,21-11-17,Find a job
561,Patsy,Cotton,female,32,09-12-17,Find a job
562,Hilda,Miranda,female,29,23-10-17,Find a job
563,Gwendolyn,Houston,female,47,30-12-17,Find a job
564,Jennie,Reilly,female,32,02-12-17,Pay a bill
565,Nora,Donaldson,female,39,06-09-17,Download a form
566,Margie,Castaneda,female,48,07-11-17,When is trash day?
567,Nina,English,female,31,22-12-17,Find a job
568,Cassandra,Lamb,female,33,21-11-17,Find a job
569,Leah,Joyce,female,34,24-09-17,Pay a bill
570,Penny,Kirkland,female,39,04-10-17,Find a job
571,Kay,Buckner,female,26,04-09-17,Find a job
572,Priscilla,Atkins,female,42,14-11-17,Download a form
573,Naomi,Dorsey,female,37,21-09-17,Find a job
574,Carole,Henson,female,46,01-11-17,Pay a bill
575,Brandy,Marquez,female,42,18-10-17,Download a form
576,Olga,Odom,female,43,09-11-17,Download a form
577,Billie,Mercado,female,30,13-12-17,Find a job
578,Dianne,Hodge,female,38,06-10-17,Download a form
579,Tracey,Stout,female,38,07-09-17,Pay a bill
580,Leona,Melton,female,29,26-11-17,Contact City Council
581,Jenny,Moses,female,43,14-12-17,Contact City Council
582,Felicia,Larsen,female,30,13-10-17,Pay a bill
583,Sonia,Mccarthy,female,29,09-10-17,Pay a bill
584,Miriam,Weber,female,40,21-09-17,Find a job
585,Velma,Logan,female,60,08-10-17,Contact City Council
586,Becky,Donovan,female,25,22-10-17,Download a form
587,Bobbie,Monroe,female,24,27-10-17,Download a form
588,Violet,Salas,female,28,17-11-17,Contact City Council
589,Kristina,Saunders,female,40,20-10-17,Pay a bill
590,Toni,Roach,female,37,09-09-17,Pay a bill
591,Misty,Trevino,female,37,11-10-17,Download a form
592,Mae,Holman,female,28,23-11-17,Find a job
593,Shelly,Leach,female,29,09-11-17,Find a job
594,Daisy,Langley,female,21,26-10-17,Contact City Council
595,Ramona,Wolf,female,25,11-12-17,Contact City Council
596,Sherri,Humphrey,female,44,20-10-17,Contact City Council
597,Erika,Frost,female,46,24-12-17,Pay a bill
598,Katrina,Mueller,female,27,08-11-17,Contact City Council
599,Claire,Warner,female,34,26-09-17,Contact City Council
